"","X.1","id_manz","P","D","L","X","Y","X1_FR_A","X2_FR_A","YearLastAFII","ageAP","nbSpray","nbSprayI","nbSprayII","nbPos","DenH","InspH","PosInspH","RocH","PosRocH","Total","nbDen","nbInsp","nbInspProg","nbInspPos","nbRoc","nbRocProg","nbRocPos","IIspray","Unspray","ManzPos2012","ManzPosPre2012","ManzVigPre2012","NextManzPosPre2012","codeLoc","focus","Den1","DenPredicted","LogDenPredicted"
"46",123,"1020-25",1,25,"44",229594.450088409,8180184.91830068,6,6,6,6,17,14,14,0,0,0,0,0,0,22,0,0,4,0,0,0,0,6,5,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.00847703581058359,4.77039444092412
"47",129,"1021-13",1,13,"10",234400.40876575,8181272.41604813,6,7,7,5,7,7,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0136983819834674,4.29047755651935
"48",130,"1021-25",1,25,"44",229657.459780556,8180217.67598486,NA,6,6,6,31,24,21,0,0,0,0,0,0,36,0,0,0,0,0,0,0,6,5,FALSE,FALSE,FALSE,FALSE,"1.25.44",TRUE,FALSE,0.00826538663589574,4.7956787689006
"49",131,"102-13",1,13,"55",233872.468260231,8182404.31284723,7,NA,8,4,12,10,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,1,FALSE,FALSE,FALSE,FALSE,"1.13.55",TRUE,FALSE,0.00770452923751855,4.86594691038701
"50",133,"102-18",1,18,"4",224518.9919956,8180299.1079065,4,5,5,7,8,6,7,2,0,0,0,0,0,10,0,0,0,0,0,0,0,5,2,FALSE,FALSE,FALSE,FALSE,"1.18.4",TRUE,FALSE,0.0430509560392441,3.14537084070704
"51",135,"1022-13",1,13,"10",234393.527901857,8181341.19806471,6,7,7,5,10,9,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,4,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0197662021588246,3.92378176147625
"52",140,"102-25",1,25,"3",230275.311175,8179616.43574025,5.4375,6,6,6,14,11,14,3,0,0,0,0,0,16,0,0,0,0,0,0,0,6,2,FALSE,FALSE,FALSE,FALSE,"1.25.3",TRUE,FALSE,0.0198855454857345,3.91776216867789
"53",141,"10-23",1,23,"1",218581.972969,8182178.327394,5,6,6,6,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.23.1",TRUE,FALSE,0.0643481959065007,2.74344638097402
"54",144,"1023-13",1,13,"10",234388.389967125,8181410.62012712,6,7,7,5,7,7,7,3,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0356715000716448,3.33340322634238
"55",147,"10-24",1,24,"1",223413.216526875,8179666.91091622,NA,NA,5,7,23,21,14,0,0,0,0,0,0,32,0,0,0,0,0,0,0,5,9,FALSE,FALSE,FALSE,FALSE,"1.24.1",TRUE,FALSE,0.0591380644508542,2.82788049335084
"56",149,"1024-13",1,13,"10",234381.940693,8181455.87475717,6,7,7,5,6,5,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0102925039013983,4.57633942526775
"57",152,"10-25",1,25,"1",229026.227476158,8181607.19665716,5,6,6,6,16,13,16,0,0,0,0,0,0,19,0,0,0,0,0,0,0,6,3,FALSE,FALSE,FALSE,FALSE,"1.25.1",TRUE,FALSE,0.00826432745575467,4.79580692358454
"58",154,"1025-13",1,13,"10",234433.530096333,8181446.1416825,6,7,7,5,6,6,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0102925039013983,4.57633942526775
"59",155,"1025-25",1,25,"45",229662.492258727,8180454.3476815,6,7,7,5,35,30,25,6,0,0,0,0,0,44,0,0,0,0,0,0,0,7,9,FALSE,FALSE,FALSE,FALSE,"1.25.45",TRUE,FALSE,0.0311176405141252,3.46998040150119
"60",158,"1026-13",1,13,"10",234438.892296125,8181402.47820788,6,7,7,5,5,5,5,3,0,0,0,0,0,8,0,0,0,0,0,0,0,7,3,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0467046699030211,3.06391112138338
"61",159,"1026-25",1,25,"45",229729.900075154,8180496.37855449,6,7,7,5,33,30,21,1,0,0,0,0,0,39,0,0,0,0,0,0,0,7,6,FALSE,FALSE,FALSE,FALSE,"1.25.45",TRUE,FALSE,0.0118702238606221,4.4337222111768
"62",161,"102-7",1,7,"8",226023.946172429,8179760.13692629,3,4,4,8,6,6,3,0,1,1,0,2,0,7,1,1,4,0,2,2,0,4,1,FALSE,FALSE,TRUE,FALSE,"1.7.8",TRUE,TRUE,0.044279954679316,3.11722319464457
"63",163,"1027-13",1,13,"10",234533.02106225,8181378.83776642,6,7,7,5,12,12,11,6,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0394087410611069,3.23376763294147
"64",166,"102-8",1,8,"9",231177.2542672,8179903.4205491,6,7,7,5,9,7,7,2,0,0,0,0,0,10,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.8.9",TRUE,FALSE,0.0173676250584842,4.05314743470434
"65",168,"1028-13",1,13,"10",234581.736463,8181359.88515586,6.14285714285714,7,7,5,7,7,7,1,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0167501053921682,4.08935072866111
"66",171,"102-9",1,9,"12",198569.740812611,8181645.01079417,8,9,9,3,18,18,18,10,0,0,0,0,0,18,0,0,0,0,0,0,0,9,0,FALSE,FALSE,FALSE,FALSE,"1.9.12",TRUE,FALSE,0.00745794547299687,4.89847530846209
"67",173,"1029-13",1,13,"10",234637.06183875,8181351.06504675,6.25,7,7,5,3,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0141308887024747,4.25939218953775
"68",178,"1030-13",1,13,"10",234684.502315,8181350.69943775,6,7,7,5,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0104779601432658,4.55848126185276
"69",185,"1031-13",1,13,"10",234732.142413333,8181351.74264367,6.33333333333333,7,7,5,6,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0102925039013983,4.57633942526775
"70",187,"103-13",1,13,"55",233909.620204095,8182346.41246533,7,8,8,4,17,14,15,0,0,0,0,0,0,21,0,0,0,0,0,0,0,8,4,FALSE,FALSE,FALSE,FALSE,"1.13.55",TRUE,FALSE,0.0154165221968718,4.17231547474944
"71",189,"103-18",1,18,"4",224493.952190429,8180338.64204557,4,5,5,7,6,5,6,1,0,0,0,0,0,7,0,0,0,0,0,0,0,5,1,FALSE,FALSE,FALSE,FALSE,"1.18.4",TRUE,FALSE,0.0367446714916352,3.30376205726075
"72",191,"1032-13",1,13,"10",234779.72988,8181353.556729,6,7,7,5,4,2,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,2,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0165271307236442,4.10275196215277
"73",193,"103-23",1,23,"8",219936.1341118,8180205.8949768,NA,6,6,6,7,5,7,1,0,0,0,0,0,10,0,0,0,0,0,0,0,6,3,FALSE,FALSE,FALSE,FALSE,"1.23.8",TRUE,FALSE,0.0700149783502858,2.65904608338982
"74",196,"103-25",1,25,"3",230213.956318737,8179590.12277284,5.78947368421053,6,6,6,19,19,19,10,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.25.3",TRUE,FALSE,0.0286300669847808,3.55329782020385
"75",199,"1033-13",1,13,"10",234835.97382475,8181356.3557445,6,7,7,5,3,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0141308887024747,4.25939218953775
"76",203,"1034-13",1,13,"10",234884.5910195,8181357.50674,6,7,7,5,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0107658540185477,4.53137581842372
"77",204,"1034-25",1,25,"45",229582.311257381,8180552.29410207,6,7,7,5,23,18,16,0,0,0,0,0,0,42,0,0,0,0,0,0,0,7,19,FALSE,FALSE,FALSE,FALSE,"1.25.45",TRUE,FALSE,0.0116909708279399,4.44893845921847
"78",207,"1035-13",1,13,"10",234926.009724,8181360.715396,6,7,7,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.010999926391963,4.50986669784588
"79",211,"1036-13",1,13,"10",234928.9477156,8181334.7737178,6,7,7,5,4,2,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.022640007863866,3.78803667830331
"80",214,"103-7",1,7,"8",226054.3352688,8179803.2195106,3,4,4,8,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,"1.7.8",TRUE,FALSE,0.0678117246383615,2.69102016921707
"81",216,"1037-13",1,13,"10",234887.84038475,8181325.03499625,6.125,7,7,5,6,6,4,1,0,0,0,0,0,8,0,0,0,0,0,0,0,7,2,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0261824276102058,3.64266679513677
"82",219,"103-8",1,8,"10",231045.140516167,8180017.1446435,6,7,7,5,5,3,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.8.10",TRUE,FALSE,0.0217085763088246,3.83004787491039
"83",221,"1038-13",1,13,"10",234840.51777275,8181317.49131063,6,7,7,5,6,4,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,2,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0163094744792417,4.11600908363829
"84",224,"103-9",1,9,"12",198609.808086333,8181688.55575333,8,9,9,3,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,FALSE,FALSE,FALSE,FALSE,"1.9.12",TRUE,FALSE,0.000709112539301191,7.2514963144075
"85",226,"1039-13",1,13,"10",234736.643875,8181300.4573244,6,7,7,5,4,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0139953116569063,4.26903288710181
"86",230,"1040-13",1,13,"10",234690.49208525,8181306.2456415,6.125,7,7,5,8,8,6,3,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0271704392037459,3.60562569064892
"87",237,"1041-13",1,13,"10",234642.106191375,8181310.23670675,6,7,7,5,7,7,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0136983819834674,4.29047755651935
"88",239,"104-13",1,13,"55",233958.652030667,8182379.03362178,7,8,8,4,8,8,8,1,0,0,0,0,0,9,0,0,0,0,0,0,0,8,1,FALSE,FALSE,FALSE,FALSE,"1.13.55",TRUE,FALSE,0.013482479569517,4.30636424608747
"89",241,"104-18",1,18,"4",224451.2311932,8180323.8614272,4,5,5,7,7,5,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,3,FALSE,FALSE,FALSE,FALSE,"1.18.4",TRUE,FALSE,0.0208854099581327,3.86870445191597
"90",243,"1042-13",1,13,"10",234592.2336675,8181313.287369,6,7,7,5,8,7,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.010156107494873,4.58968003082461
"91",248,"104-25",1,25,"3",230111.052883826,8179570.95112235,6,6,6,6,23,19,21,4,0,0,0,0,0,23,0,0,0,0,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,"1.25.3",TRUE,FALSE,0.0182237098341955,4.00503179458386
"92",262,"1046-13",1,13,"10",234556.759897636,8181259.77760254,6,7,7,5,10,9,9,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,1,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0134914830976435,4.30569667428336
"93",265,"104-7",1,7,"8",226066.40036225,8179730.23906512,3,4,4,8,8,8,8,1,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,"1.7.8",TRUE,FALSE,0.0794209826204193,2.53299268090003
"94",267,"1047-13",1,13,"10",234599.481851375,8181262.70001587,6.25,7,7,5,8,8,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.010156107494873,4.58968003082461
"95",270,"104-8",1,8,"10",230988.596999467,8179912.78356913,6,7,7,5,15,14,13,3,0,0,0,0,0,15,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.8.10",TRUE,FALSE,0.0157748822288831,4.14933633626367
"96",272,"1048-13",1,13,"10",234649.041450333,8181264.475064,6,7,7,5,6,6,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0102925039013983,4.57633942526775
"97",273,"1048-25",1,25,"45",229391.805511821,8180399.54911807,6,7,7,5,25,22,20,0,0,0,0,0,0,28,0,0,0,0,0,0,0,7,3,FALSE,FALSE,FALSE,FALSE,"1.25.45",TRUE,FALSE,0.00594581739788254,5.12506726495473
"98",275,"104-9",1,9,"12",198611.628238,8181624.99482275,8,9,9,3,4,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,FALSE,FALSE,FALSE,FALSE,"1.9.12",TRUE,FALSE,0.000700682681754195,7.26345543852874
"99",277,"1049-13",1,13,"10",234698.537835167,8181264.24150733,6,7,7,5,6,6,4,1,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0168684612755866,4.08230959727854
"100",281,"1050-13",1,13,"10",234747.52949925,8181266.74064975,6,7,7,5,4,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,"1.13.10",TRUE,FALSE,0.0104779601432658,4.55848126185276
"101",288,"1051-25",1,25,"45",229343.079948037,8180551.32740015,6,7,7,5,22,22,19,4,0,0,0,0,0,27,0,0,0,0,0,0,0,7,5,FALSE,FALSE,FALSE,FALSE,"1.25.45",TRUE,FALSE,0.0209815141499109,3.86411350750709
